gene	DB_symbol	regulation	GeneType	ONG_Alias	ONG_Links	ONG_Cytoband	ONG_FullName	TSG_Alias	TSG_Links	TSG_Chromosome	TSG_Cytoband	TSG_FullName
406966	MIR191	ONG	ncRNA	MIRN191|miR-191	MIM:615150|HGNC:HGNC:31561|Ensembl:ENSG00000207605|miRBase:MI0000465	3p21.31	microRNA 191	NA	NA	NA	NA	NA
406958	MIR182	both	ncRNA	MIRN182|miRNA182|mir-182	MIM:611607|HGNC:HGNC:31553|Ensembl:ENSG00000207990|miRBase:MI0000272	7q32.2	microRNA 182	MIRN182|miRNA182	MIM:611607|HGNC:HGNC:31553|Ensembl:ENSG00000207990|miRBase:MI0000272	7	7q32.2	microRNA 182
406953	MIR18A	both	ncRNA	MIR18|MIRN18|MIRN18A|hsa-mir-18|hsa-mir-18a|miR-18|miRNA18A|mir-18a	MIM:609417|HGNC:HGNC:31548|miRBase:MI0000072	13q31.3	microRNA 18a	MIR18|MIRN18|MIRN18A|hsa-mir-18|hsa-mir-18a|miR-18|miRNA18A	MIM:609417|HGNC:HGNC:31548|miRBase:MI0000072	13	13q31.3	microRNA 18a
406952	MIR17	both	ncRNA	MIR17-5p|MIR91|MIRN17|MIRN91|hsa-mir-17|miR-17|miR17-3p|miRNA17|miRNA91	MIM:609416|HGNC:HGNC:31547|Ensembl:ENSG00000275042|miRBase:MI0000071	13q31.3	microRNA 17	MIR17-5p|MIR91|MIRN17|MIRN91|hsa-mir-17|miR-17|miR17-3p|miRNA17|miRNA91	MIM:609416|HGNC:HGNC:31547|Ensembl:ENSG00000275042|miRBase:MI0000071	13	13q31.3	microRNA 17
406911	MIR125B1	both	ncRNA	MIRN125B1|mir-125b-1	MIM:610104|HGNC:HGNC:31506|Ensembl:ENSG00000207971|miRBase:MI0000446	11q24.1	microRNA 125b-1	MIRN125B1	MIM:610104|HGNC:HGNC:31506|Ensembl:ENSG00000207971|miRBase:MI0000446	11	11q24.1	microRNA 125b-1
406903	MIR10B	ONG	ncRNA	MIRN10B|hsa-mir-10b|miRNA10B|mir-10b	MIM:611576|HGNC:HGNC:31498|Ensembl:ENSG00000207744|miRBase:MI0000267	2q31.1	microRNA 10b	NA	NA	NA	NA	NA
406900	MIR106B	ONG	ncRNA	MIRN106B|mir-106b	MIM:612983|HGNC:HGNC:31495|Ensembl:ENSG00000208036|miRBase:MI0000734	7q22.1	microRNA 106b	NA	NA	NA	NA	NA
4010	LMX1B	ONG	protein-coding	LMX1.2|NPS1	MIM:602575|HGNC:HGNC:6654|Ensembl:ENSG00000136944|HPRD:03986|Vega:OTTHUMG00000020692	9q33.3	LIM homeobox transcription factor 1 beta	NA	NA	NA	NA	NA
4004	LMO1	ONG	protein-coding	RBTN1|RHOM1|TTG1	MIM:186921|HGNC:HGNC:6641|Ensembl:ENSG00000166407|HPRD:01738|Vega:OTTHUMG00000165833	11p15	LIM domain only 1	NA	NA	NA	NA	NA
399959	MIR100HG	ONG	ncRNA	AGD1|lncRNA-N2	MIM:615965|HGNC:HGNC:39522	11q24.1	mir-100-let-7a-2 cluster host gene	NA	NA	NA	NA	NA
3975	LHX1	ONG	protein-coding	LIM-1|LIM1	MIM:601999|HGNC:HGNC:6593|Ensembl:ENSG00000273706|HPRD:09067|Vega:OTTHUMG00000188456	17q12	LIM homeobox 1	NA	NA	NA	NA	NA
3945	LDHB	ONG	protein-coding	HEL-S-281|LDH-B|LDH-H|LDHBD|TRG-5	MIM:150100|HGNC:HGNC:6541|Ensembl:ENSG00000111716|HPRD:01026|Vega:OTTHUMG00000133760	12p12.2-p12.1	lactate dehydrogenase B	NA	NA	NA	NA	NA
3932	LCK	ONG	protein-coding	IMD22|LSK|YT16|p56lck|pp58lck	MIM:153390|HGNC:HGNC:6524|Ensembl:ENSG00000182866|HPRD:01080|Vega:OTTHUMG00000007463	1p34.3	LCK proto-oncogene, Src family tyrosine kinase	NA	NA	NA	NA	NA
3899	AFF3	ONG	protein-coding	LAF4|MLLT2-like	MIM:601464|HGNC:HGNC:6473|Ensembl:ENSG00000144218|HPRD:03272|Vega:OTTHUMG00000153011	2q11.2-q12	AF4/FMR2 family member 3	NA	NA	NA	NA	NA
389692	MAFA	ONG	protein-coding	RIPE3b1|hMafA	MIM:610303|HGNC:HGNC:23145|Ensembl:ENSG00000182759|HPRD:14346|Vega:OTTHUMG00000165037	8q24.3	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A	NA	NA	NA	NA	NA
389421	LIN28B	ONG	protein-coding	CSDD2	MIM:611044|HGNC:HGNC:32207|Ensembl:ENSG00000187772|HPRD:13366|Vega:OTTHUMG00000015290	6q21	lin-28 homolog B	NA	NA	NA	NA	NA
389	RHOC	ONG	protein-coding	ARH9|ARHC|H9|RHOH9	MIM:165380|HGNC:HGNC:669|Ensembl:ENSG00000155366|HPRD:01322|Vega:OTTHUMG00000011905	1p13.1	ras homolog family member C	NA	NA	NA	NA	NA
388815	MIR99AHG	ONG	ncRNA	C21orf34|C21orf35|FLJ38295|LINC00478|MONC	MIM:615964|HGNC:HGNC:1274|Ensembl:ENSG00000215386|HPRD:10746	21q21.1	mir-99a-let-7c cluster host gene	NA	NA	NA	NA	NA
387	RHOA	both	protein-coding	ARH12|ARHA|RHO12|RHOH12	MIM:165390|HGNC:HGNC:667|Ensembl:ENSG00000067560|HPRD:01323|Vega:OTTHUMG00000156838	3p21.3	ras homolog family member A	ARH12|ARHA|RHO12|RHOH12	MIM:165390|HGNC:HGNC:667|Ensembl:ENSG00000067560|HPRD:01323|Vega:OTTHUMG00000156838	3	3p21.3	ras homolog family member A
374897	SBSN	ONG	protein-coding	UNQ698	MIM:609969|HGNC:HGNC:24950|Ensembl:ENSG00000189001|HPRD:18498|Vega:OTTHUMG00000048102	19q13.13	suprabasin	NA	NA	NA	NA	NA
3728	JUP	both	protein-coding	ARVD12|CTNNG|DP3|DPIII|PDGB|PKGB	MIM:173325|HGNC:HGNC:6207|Ensembl:ENSG00000173801|HPRD:01414|Vega:OTTHUMG00000133494	17q21	junction plakoglobin	ARVD12|CTNNG|DP3|DPIII|PDGB|PKGB	MIM:173325|HGNC:HGNC:6207|Ensembl:ENSG00000173801|HPRD:01414|Vega:OTTHUMG00000133494	17	17q21	junction plakoglobin
3716	JAK1	ONG	protein-coding	JAK1A|JAK1B|JTK3	MIM:147795|HGNC:HGNC:6190|Ensembl:ENSG00000162434|HPRD:00992|Vega:OTTHUMG00000009310	1p32.3-p31.3	Janus kinase 1	NA	NA	NA	NA	NA
3702	ITK	ONG	protein-coding	EMT|LPFS1|LYK|PSCTK2	MIM:186973|HGNC:HGNC:6171|Ensembl:ENSG00000113263|HPRD:01746|Vega:OTTHUMG00000130245	5q31-q32	IL2 inducible T-cell kinase	NA	NA	NA	NA	NA
369	ARAF	ONG	protein-coding	A-RAF|ARAF1|PKS2|RAFA1	MIM:311010|HGNC:HGNC:646|Ensembl:ENSG00000078061|HPRD:02405|Vega:OTTHUMG00000021446	Xp11.4-p11.2	A-Raf proto-oncogene, serine/threonine kinase	NA	NA	NA	NA	NA
367	AR	ONG	protein-coding	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	MIM:313700|HGNC:HGNC:644|Ensembl:ENSG00000169083|HPRD:02437|Vega:OTTHUMG00000021740	Xq12	androgen receptor	NA	NA	NA	NA	NA
3662	IRF4	both	protein-coding	LSIRF|MUM1|NF-EM5|SHEP8	MIM:601900|HGNC:HGNC:6119|Ensembl:ENSG00000137265|HPRD:03543|Vega:OTTHUMG00000016294	6p25.3	interferon regulatory factor 4	LSIRF|MUM1|NF-EM5|SHEP8	MIM:601900|HGNC:HGNC:6119|Ensembl:ENSG00000137265|HPRD:03543|Vega:OTTHUMG00000016294	6	6p25-p23	interferon regulatory factor 4
3636	INPPL1	ONG	protein-coding	OPSMD|SHIP2	MIM:600829|HGNC:HGNC:6080|Ensembl:ENSG00000165458|HPRD:02900|Vega:OTTHUMG00000167879	11q13	inositol polyphosphate phosphatase like 1	NA	NA	NA	NA	NA
358	AQP1	ONG	protein-coding	AQP-CHIP|CHIP28|CO	MIM:107776|HGNC:HGNC:633|Ensembl:ENSG00000240583|HPRD:00140|Vega:OTTHUMG00000023944	7p14	aquaporin 1 (Colton blood group)	NA	NA	NA	NA	NA
346389	MACC1	ONG	protein-coding	7A5|SH3BP4L	MIM:612646|HGNC:HGNC:30215|Ensembl:ENSG00000183742|HPRD:12381|Vega:OTTHUMG00000128415	7p21.1	metastasis associated in colon cancer 1	NA	NA	NA	NA	NA
3417	IDH1	both	protein-coding	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD	MIM:147700|HGNC:HGNC:5382|Ensembl:ENSG00000138413|HPRD:00984|Vega:OTTHUMG00000132943	2q33.3	isocitrate dehydrogenase 1 (NADP+)	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD	MIM:147700|HGNC:HGNC:5382|Ensembl:ENSG00000138413|HPRD:00984|Vega:OTTHUMG00000132943	2	2q33.3	isocitrate dehydrogenase 1 (NADP+), soluble
331	XIAP	ONG	protein-coding	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	MIM:300079|HGNC:HGNC:592|Ensembl:ENSG00000101966|HPRD:02094|Vega:OTTHUMG00000022336	Xq25	X-linked inhibitor of apoptosis	NA	NA	NA	NA	NA
330	BIRC3	ONG	protein-coding	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	MIM:601721|HGNC:HGNC:591|Ensembl:ENSG00000023445|HPRD:03426|Vega:OTTHUMG00000167324	11q22	baculoviral IAP repeat containing 3	NA	NA	NA	NA	NA
329	BIRC2	ONG	protein-coding	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	MIM:601712|HGNC:HGNC:590|Ensembl:ENSG00000110330|HPRD:03419|Vega:OTTHUMG00000167325	11q22	baculoviral IAP repeat containing 2	NA	NA	NA	NA	NA
3266	ERAS	ONG	protein-coding	HRAS2|HRASP	MIM:300437|HGNC:HGNC:5174|HPRD:02339	Xp11.23	ES cell expressed Ras	NA	NA	NA	NA	NA
3239	HOXD13	ONG	protein-coding	BDE|BDSD|HOX4I|SPD	MIM:142989|HGNC:HGNC:5136|Ensembl:ENSG00000128714|HPRD:00872|Vega:OTTHUMG00000132431	2q31.1	homeobox D13	NA	NA	NA	NA	NA
3235	HOXD9	ONG	protein-coding	HOX4|HOX4C|Hox-4.3|Hox-5.2	MIM:142982|HGNC:HGNC:5140|Ensembl:ENSG00000128709|HPRD:00865|Vega:OTTHUMG00000132516	2q31.1	homeobox D9	NA	NA	NA	NA	NA
3198	HOXA1	ONG	protein-coding	BSAS|HOX1|HOX1F	MIM:142955|HGNC:HGNC:5099|Ensembl:ENSG00000105991|HPRD:00843|Vega:OTTHUMG00000023207	7p15.3	homeobox A1	NA	NA	NA	NA	NA
3195	TLX1	ONG	protein-coding	HOX11|TCL3	MIM:186770|HGNC:HGNC:5056|Ensembl:ENSG00000107807|HPRD:01728|Vega:OTTHUMG00000019341	10q24	T-cell leukemia homeobox 1	NA	NA	NA	NA	NA
3169	FOXA1	both	protein-coding	HNF3A|TCF3A	MIM:602294|HGNC:HGNC:5021|Ensembl:ENSG00000129514|HPRD:03801|Vega:OTTHUMG00000140253	14q21.1	forkhead box A1	HNF3A|TCF3A	MIM:602294|HGNC:HGNC:5021|Ensembl:ENSG00000129514|HPRD:03801|Vega:OTTHUMG00000140253	14	14q12-q13	forkhead box A1
3159	HMGA1	ONG	protein-coding	HMG-R|HMGA1A|HMGIY	MIM:600701|HGNC:HGNC:5010|Ensembl:ENSG00000137309|HPRD:02829|Vega:OTTHUMG00000014539	6p21	high mobility group AT-hook 1	NA	NA	NA	NA	NA
3131	HLF	ONG	protein-coding	-	MIM:142385|HGNC:HGNC:4977|Ensembl:ENSG00000108924|HPRD:00797|Vega:OTTHUMG00000177840	17q22	hepatic leukemia factor	NA	NA	NA	NA	NA
3087	HHEX	ONG	protein-coding	HEX|HMPH|HOX11L-PEN|PRH|PRHX	MIM:604420|HGNC:HGNC:4901|Ensembl:ENSG00000152804|HPRD:06829|Vega:OTTHUMG00000018762	10q23.33	hematopoietically expressed homeobox	NA	NA	NA	NA	NA
2921	CXCL3	ONG	protein-coding	CINC-2b|GRO3|GROg|MIP-2b|MIP2B|SCYB3	MIM:139111|HGNC:HGNC:4604|Ensembl:ENSG00000163734|HPRD:00742|Vega:OTTHUMG00000160861	4q21	C-X-C motif chemokine ligand 3	NA	NA	NA	NA	NA
2920	CXCL2	ONG	protein-coding	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	MIM:139110|HGNC:HGNC:4603|Ensembl:ENSG00000081041|HPRD:00741|Vega:OTTHUMG00000160865	4q21	C-X-C motif chemokine ligand 2	NA	NA	NA	NA	NA
2919	CXCL1	ONG	protein-coding	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	MIM:155730|HGNC:HGNC:4602|Ensembl:ENSG00000163739|HPRD:01119|Vega:OTTHUMG00000160866	4q21	C-X-C motif chemokine ligand 1	NA	NA	NA	NA	NA
29128	UHRF1	ONG	protein-coding	ICBP90|Np95|RNF106|TDRD22|hNP95|hUHRF1|huNp95	MIM:607990|HGNC:HGNC:12556|Ensembl:ENSG00000276043|HPRD:06992|Vega:OTTHUMG00000180251	19p13.3	ubiquitin like with PHD and ring finger domains 1	NA	NA	NA	NA	NA
28992	MACROD1	ONG	protein-coding	LRP16	MIM:610400|HGNC:HGNC:29598|Ensembl:ENSG00000133315|HPRD:17448|Vega:OTTHUMG00000167843	11q11	MACRO domain containing 1	NA	NA	NA	NA	NA
283120	H19	both	ncRNA	ASM|ASM1|BWS|D11S813E|LINC00008|NCRNA00008|WT2	MIM:103280|HGNC:HGNC:4713|Ensembl:ENSG00000130600	11p15.5	H19, imprinted maternally expressed transcript (non-protein coding)	ASM|ASM1|BWS|D11S813E|LINC00008|NCRNA00008|PRO2605|WT2	MIM:103280|HGNC:HGNC:4713|Ensembl:ENSG00000130600	11	11p15.5	H19, imprinted maternally expressed transcript (non-protein coding)
2824	GPM6B	ONG	protein-coding	M6B	MIM:300051|HGNC:HGNC:4461|Ensembl:ENSG00000046653|HPRD:02082|Vega:OTTHUMG00000021162	Xp22.2	glycoprotein M6B	NA	NA	NA	NA	NA
2823	GPM6A	ONG	protein-coding	GPM6|M6A	MIM:601275|HGNC:HGNC:4460|Ensembl:ENSG00000150625|HPRD:03174|Vega:OTTHUMG00000160760	4q34	glycoprotein M6A	NA	NA	NA	NA	NA
2776	GNAQ	ONG	protein-coding	CMC1|G-ALPHA-q|GAQ|SWS	MIM:600998|HGNC:HGNC:4390|Ensembl:ENSG00000156052|HPRD:02998|Vega:OTTHUMG00000020059	9q21	G protein subunit alpha q	NA	NA	NA	NA	NA
2771	GNAI2	ONG	protein-coding	GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1	MIM:139360|HGNC:HGNC:4385|Ensembl:ENSG00000114353|HPRD:00764|Vega:OTTHUMG00000156940	3p21.31	G protein subunit alpha i2	NA	NA	NA	NA	NA
2768	GNA12	ONG	protein-coding	NNX3|RMP|gep	MIM:604394|HGNC:HGNC:4380|Ensembl:ENSG00000146535|HPRD:05093|Vega:OTTHUMG00000023064	7p22.2	G protein subunit alpha 12	NA	NA	NA	NA	NA
2739	GLO1	ONG	protein-coding	GLOD1|GLYI|HEL-S-74	MIM:138750|HGNC:HGNC:4323|Ensembl:ENSG00000124767|HPRD:00730|Vega:OTTHUMG00000014636	6p21.3-p21.1	glyoxalase I	NA	NA	NA	NA	NA
27257	LSM1	ONG	protein-coding	CASM|YJL124C	MIM:607281|HGNC:HGNC:20472|Ensembl:ENSG00000175324|HPRD:06281|Vega:OTTHUMG00000164051	8p11.2	LSM1 homolog, mRNA degradation associated	NA	NA	NA	NA	NA
27086	FOXP1	both	protein-coding	12CC4|HSPC215|MFH|QRF1|hFKH1B	MIM:605515|HGNC:HGNC:3823|Ensembl:ENSG00000114861|HPRD:18518|Vega:OTTHUMG00000158803	3p14.1	forkhead box P1	12CC4|QRF1|hFKH1B	MIM:605515|HGNC:HGNC:3823|Ensembl:ENSG00000114861|HPRD:18518|Vega:OTTHUMG00000158803	3	3p14.1	forkhead box P1
27043	PELP1	ONG	protein-coding	MNAR|P160	MIM:609455|HGNC:HGNC:30134|Ensembl:ENSG00000141456|HPRD:10144|Vega:OTTHUMG00000177831	17p13.2	proline, glutamate and leucine rich protein 1	NA	NA	NA	NA	NA
2672	GFI1	ONG	protein-coding	GFI-1|GFI1A|SCN2|ZNF163	MIM:600871|HGNC:HGNC:4237|Ensembl:ENSG00000162676|HPRD:07527|Vega:OTTHUMG00000010897	1p22	growth factor independent 1 transcription repressor	NA	NA	NA	NA	NA
266977	ADGRF1	ONG	protein-coding	GPR110|KPG_012|PGR19|hGPCR36	HGNC:HGNC:18990|Ensembl:ENSG00000153292|HPRD:08661|Vega:OTTHUMG00000014795	6p12.3	adhesion G protein-coupled receptor F1	NA	NA	NA	NA	NA
25901	CCDC28A	ONG	protein-coding	C6orf80|CCRL1AP	MIM:615353|HGNC:HGNC:21098|Ensembl:ENSG00000024862|HPRD:09857|Vega:OTTHUMG00000015683	6q23.1-q24.1	coiled-coil domain containing 28A	NA	NA	NA	NA	NA
256646	NUTM1	ONG	protein-coding	C15orf55|FAM22H|NUT	MIM:608963|HGNC:HGNC:29919|Ensembl:ENSG00000184507|HPRD:10606|Vega:OTTHUMG00000172348	15q14	NUT midline carcinoma, family member 1	NA	NA	NA	NA	NA
2535	FZD2	ONG	protein-coding	Fz2|fz-2|fzE2|hFz2	MIM:600667|HGNC:HGNC:4040|HPRD:02813	17q21.31	frizzled class receptor 2	NA	NA	NA	NA	NA
2534	FYN	ONG	protein-coding	SLK|SYN|p59-FYN	MIM:137025|HGNC:HGNC:4037|Ensembl:ENSG00000010810|HPRD:00655|Vega:OTTHUMG00000016305	6q21	FYN proto-oncogene, Src family tyrosine kinase	NA	NA	NA	NA	NA
2475	MTOR	ONG	protein-coding	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS	MIM:601231|HGNC:HGNC:3942|Ensembl:ENSG00000198793|HPRD:03134|Vega:OTTHUMG00000002001	1p36.2	mechanistic target of rapamycin	NA	NA	NA	NA	NA
23492	CBX7	ONG	protein-coding	-	MIM:608457|HGNC:HGNC:1557|Ensembl:ENSG00000100307|HPRD:12234|Vega:OTTHUMG00000150418	22q13.1	chromobox 7	NA	NA	NA	NA	NA
23476	BRD4	ONG	protein-coding	CAP|HUNK1|HUNKI|MCAP	MIM:608749|HGNC:HGNC:13575|Ensembl:ENSG00000141867|HPRD:10574|Vega:OTTHUMG00000183252	19p13.1	bromodomain containing 4	NA	NA	NA	NA	NA
23326	USP22	ONG	protein-coding	USP3L	MIM:612116|HGNC:HGNC:12621|Ensembl:ENSG00000124422|Vega:OTTHUMG00000133621	17p11.2	ubiquitin specific peptidase 22	NA	NA	NA	NA	NA
23263	MCF2L	ONG	protein-coding	ARHGEF14|DBS|OST	MIM:609499|HGNC:HGNC:14576|Ensembl:ENSG00000126217|HPRD:14371|Vega:OTTHUMG00000017377	13q34	MCF.2 cell line derived transforming sequence like	NA	NA	NA	NA	NA
23081	KDM4C	ONG	protein-coding	GASC1|JHDM3C|JMJD2C|TDRD14C	MIM:605469|HGNC:HGNC:17071|Ensembl:ENSG00000107077|Ensembl:ENSG00000274527|Ensembl:ENSG00000282960|HPRD:12016|Vega:OTTHUMG00000019536|Vega:OTTHUMG00000187508	9p24.1	lysine demethylase 4C	NA	NA	NA	NA	NA
2308	FOXO1	both	protein-coding	FKH1|FKHR|FOXO1A	MIM:136533|HGNC:HGNC:3819|Ensembl:ENSG00000150907|HPRD:00645|Vega:OTTHUMG00000016775	13q14.1	forkhead box O1	FKH1|FKHR|FOXO1A	MIM:136533|HGNC:HGNC:3819|Ensembl:ENSG00000150907|HPRD:00645|Vega:OTTHUMG00000016775	13	13q14.1	forkhead box O1
22954	TRIM32	both	protein-coding	BBS11|HT2A|LGMD2H|TATIP	MIM:602290|HGNC:HGNC:16380|Ensembl:ENSG00000119401|HPRD:03797|Vega:OTTHUMG00000021026	9q33.1	tripartite motif containing 32	BBS11|HT2A|LGMD2H|TATIP	MIM:602290|HGNC:HGNC:16380|Ensembl:ENSG00000119401|HPRD:03797|Vega:OTTHUMG00000021026	9	9q33.1	tripartite motif containing 32
22800	RRAS2	ONG	protein-coding	TC21	MIM:600098|HGNC:HGNC:17271|Ensembl:ENSG00000133818|HPRD:02518|Vega:OTTHUMG00000165756	11p15.2	related RAS viral (r-ras) oncogene homolog 2	NA	NA	NA	NA	NA
2274	FHL2	ONG	protein-coding	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	MIM:602633|HGNC:HGNC:3703|Ensembl:ENSG00000115641|HPRD:04026|Vega:OTTHUMG00000153120	2q12.2	four and a half LIM domains 2	NA	NA	NA	NA	NA
2268	FGR	ONG	protein-coding	SRC2|c-fgr|c-src2|p55-Fgr|p55c-fgr|p58-Fgr|p58c-fgr	MIM:164940|HGNC:HGNC:3697|Ensembl:ENSG00000000938|HPRD:01288|Vega:OTTHUMG00000003516	1p36.2-p36.1	FGR proto-oncogene, Src family tyrosine kinase	NA	NA	NA	NA	NA
2261	FGFR3	ONG	protein-coding	ACH|CD333|CEK2|HSFGFR3EX|JTK4	MIM:134934|HGNC:HGNC:3690|Ensembl:ENSG00000068078|HPRD:00624|Vega:OTTHUMG00000121148	4p16.3	fibroblast growth factor receptor 3	NA	NA	NA	NA	NA
2260	FGFR1	ONG	protein-coding	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	MIM:136350|HGNC:HGNC:3688|Ensembl:ENSG00000077782|HPRD:00634|Vega:OTTHUMG00000147366	8p11.23-p11.22	fibroblast growth factor receptor 1	NA	NA	NA	NA	NA
2251	FGF6	ONG	protein-coding	HBGF-6|HST2	MIM:134921|HGNC:HGNC:3684|Ensembl:ENSG00000111241|HPRD:00623|Vega:OTTHUMG00000168242	12p13	fibroblast growth factor 6	NA	NA	NA	NA	NA
2250	FGF5	ONG	protein-coding	HBGF-5|Smag-82|TCMGLY	MIM:165190|HGNC:HGNC:3683|Ensembl:ENSG00000138675|HPRD:01307|Vega:OTTHUMG00000130288	4q21	fibroblast growth factor 5	NA	NA	NA	NA	NA
2249	FGF4	ONG	protein-coding	HBGF-4|HST|HST-1|HSTF1|K-FGF|KFGF	MIM:164980|HGNC:HGNC:3682|HPRD:01294	11q13.3	fibroblast growth factor 4	NA	NA	NA	NA	NA
2248	FGF3	ONG	protein-coding	HBGF-3|INT2	MIM:164950|HGNC:HGNC:3681|HPRD:01289	11q13	fibroblast growth factor 3	NA	NA	NA	NA	NA
2194	FASN	ONG	protein-coding	FAS|OA-519|SDR27X1	MIM:600212|HGNC:HGNC:3594|Ensembl:ENSG00000169710|HPRD:02567|Vega:OTTHUMG00000178527	17q25	fatty acid synthase	NA	NA	NA	NA	NA
2123	EVI2A	ONG	protein-coding	EVDA|EVI-2A|EVI2	MIM:158380|HGNC:HGNC:3499|HPRD:08866	17q11.2	ecotropic viral integration site 2A	NA	NA	NA	NA	NA
2122	MECOM	ONG	protein-coding	AML1-EVI-1|EVI1|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MIM:165215|HGNC:HGNC:3498|Ensembl:ENSG00000085276|HPRD:01310|Vega:OTTHUMG00000158596	3q26.2	MDS1 and EVI1 complex locus	NA	NA	NA	NA	NA
2115	ETV1	ONG	protein-coding	ER81	MIM:600541|HGNC:HGNC:3490|Ensembl:ENSG00000006468|HPRD:02765|Vega:OTTHUMG00000152403	7p21.3	ETS variant 1	NA	NA	NA	NA	NA
208	AKT2	ONG	protein-coding	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	MIM:164731|HGNC:HGNC:392|Ensembl:ENSG00000105221|HPRD:01262|Vega:OTTHUMG00000137375	19q13.1-q13.2	v-akt murine thymoma viral oncogene homolog 2	NA	NA	NA	NA	NA
2078	ERG	ONG	protein-coding	erg-3|p55	MIM:165080|HGNC:HGNC:3446|Ensembl:ENSG00000157554|HPRD:01298|Vega:OTTHUMG00000090767	21q22.3	v-ets avian erythroblastosis virus E26 oncogene homolog	NA	NA	NA	NA	NA
2066	ERBB4	both	protein-coding	ALS19|HER4|p180erbB4	MIM:600543|HGNC:HGNC:3432|Ensembl:ENSG00000178568|HPRD:02767|Vega:OTTHUMG00000133012	2q33.3-q34	erb-b2 receptor tyrosine kinase 4	ALS19|HER4|p180erbB4	MIM:600543|HGNC:HGNC:3432|Ensembl:ENSG00000178568|HPRD:02767|Vega:OTTHUMG00000133012	2	2q33.3-q34	erb-b2 receptor tyrosine kinase 4
2065	ERBB3	ONG	protein-coding	ErbB-3|HER3|LCCS2|MDA-BF-1|c-erbB-3|c-erbB3|erbB3-S|p180-ErbB3|p45-sErbB3|p85-sErbB3	MIM:190151|HGNC:HGNC:3431|Ensembl:ENSG00000065361|HPRD:01820|Vega:OTTHUMG00000170140	12q13	erb-b2 receptor tyrosine kinase 3	NA	NA	NA	NA	NA
2017	CTTN	ONG	protein-coding	EMS1	MIM:164765|HGNC:HGNC:3338|Ensembl:ENSG00000085733|HPRD:01268|Vega:OTTHUMG00000134307	11q13	cortactin	NA	NA	NA	NA	NA
200025	PFN1P3	ONG	pseudo	COAS-3|COAS3	HGNC:HGNC:42987	1q21.2	profilin 1 pseudogene 3	NA	NA	NA	NA	NA
2000	ELF4	ONG	protein-coding	ELFR|MEF	MIM:300775|HGNC:HGNC:3319|Ensembl:ENSG00000102034|HPRD:06499|Vega:OTTHUMG00000022390	Xq26	E74 like ETS transcription factor 4	NA	NA	NA	NA	NA
1977	EIF4E	ONG	protein-coding	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E	MIM:133440|HGNC:HGNC:3287|HPRD:00591	4q23	eukaryotic translation initiation factor 4E	NA	NA	NA	NA	NA
1969	EPHA2	both	protein-coding	ARCC2|CTPA|CTPP1|CTRCT6|ECK	MIM:176946|HGNC:HGNC:3386|Ensembl:ENSG00000142627|HPRD:01494|Vega:OTTHUMG00000009527	1p36	EPH receptor A2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	MIM:176946|HGNC:HGNC:3386|Ensembl:ENSG00000142627|HPRD:01494|Vega:OTTHUMG00000009527	1	1p36	EPH receptor A2
1917	EEF1A2	ONG	protein-coding	EEF1AL|EF-1-alpha-2|EF1A|EIEE33|HS1|MRD38|STN|STNL	MIM:602959|HGNC:HGNC:3192|Ensembl:ENSG00000101210|HPRD:04265|Vega:OTTHUMG00000033076	20q13.3	eukaryotic translation elongation factor 1 alpha 2	NA	NA	NA	NA	NA
1894	ECT2	both	protein-coding	ARHGEF31	MIM:600586|HGNC:HGNC:3155|Ensembl:ENSG00000114346|HPRD:11860|Vega:OTTHUMG00000156762	3q26.1-q26.2	epithelial cell transforming 2	ARHGEF31	MIM:600586|HGNC:HGNC:3155|Ensembl:ENSG00000114346|HPRD:11860|Vega:OTTHUMG00000156762	3	3q26.1-q26.2	epithelial cell transforming 2
